,name,price,tradding-value
0,USDN,$0.993488,"$14,944,667"
1,CEL,$2.29,"$3,550,057"
2,COMP,$142.65,"$100,593,644"
3,KDA,$5.58,"$27,032,531"
4,GLMR,$4.09,"$97,791,175"
5,XEM,$0.101709,"$12,351,234"
6,HOT,$0.005058167991,"$42,726,630"
7,LDO,$3.02,"$3,102,436"
8,CRV,$2.25,"$68,256,632"
9,LN,$137.86,"$877,148"
10,SCRT,$4.95,"$4,800,323"
11,ROSE,$0.232264,"$24,485,123"
12,JUNO,$16.92,"$3,627,521"
13,AUDIO,$1.29,"$88,397,221"
14,DCR,$56.41,"$3,189,344"
15,XIDO,$27.13,"$21,412.07"
16,OKT,$48.60,"$6,164,507"
17,ASTR,$0.243423,"$48,121,706"
18,POKT,$0.773905,"$1,329,772"
19,KAVA,$4.25,"$32,877,851"
20,ANC,$2.14,"$31,823,475"
21,CUSDT,$0.021768404499,"$1,547.57"
22,QTUM,$6.91,"$152,477,897"
23,IOTX,$0.075549568875,"$23,509,727"
24,NXM,$102.84,"$12,775.60"
25,OMI,$0.002629603341,"$2,063,272"
26,IOST,$0.029750309671,"$55,074,415"
27,YFI,"$19,242.67","$43,065,231"
28,SLP,$0.017100285618,"$87,409,011"
29,SKL,$0.193958,"$28,031,631"
30,MSOL,$105.91,"$3,703,282"
31,OMG,$4.78,"$247,036,480"
32,XDC,$0.054463577304,"$3,182,384"
33,SRM,$2.46,"$207,080,169"
34,GNO,$349.00,"$3,060,531"
35,SUSHI,$3.32,"$87,772,103"
36,BTG,$36.14,"$11,776,793"
37,1INCH,$1.52,"$52,044,767"
38,PAXG,"$1,979.85","$9,628,031"
39,ZRX,$0.739795,"$40,134,957"
40,ANKR,$0.076434634810,"$19,910,818"
41,KUB,$6.97,"$1,455,475"
42,SXP,$1.26,"$37,085,167"
43,ICX,$0.792029,"$9,004,825"
44,BNT,$2.29,"$40,428,375"
45,RVN,$0.055890459090,"$10,944,720"
46,LPT,$23.44,"$6,807,253"
47,JST,$0.077652778269,"$131,813,584"
48,RACA,$0.001886027839,"$17,302,509"
49,FEI,$1.00,"$13,464,250"
50,WAXP,$0.280278,"$18,881,372"
51,ACA,$1.47,"$16,513,861"
52,SC,$0.010708714407,"$9,935,041"
53,RPL,$33.41,"$4,004,094"
54,SAPP,$0.610002,"$829,346"
55,SGB,$0.063271946039,"$711,749"
56,SYN,$2.73,"$3,367,503"
57,VLX,$0.216129,"$2,723,114"
58,XAUT,"$1,999.37","$810,973"
59,LUSD,$1.00,"$904,769"
60,RNDR,$2.02,"$8,945,828"
61,RENBTC,"$40,530.90","$2,521,382"
62,WOO,$0.475417,"$33,077,435"
63,ZEN,$38.88,"$12,933,005"
64,SFM,$0.000840685256,"$1,636,012"
65,NFT,$0.000001670256,"$197,887,327"
66,DESO,$43.28,"$3,149,438"
67,ONT,$0.518087,"$29,061,651"
68,KNC,$4.39,"$78,766,643"
69,RLY,$0.168523,"$2,628,653"
70,CVXCRV,$2.18,"$165,455"
71,ELON,$0.000000799195,"$9,905,421"
72,OHM,$26.77,"$5,148,712"
73,GLM,$0.435629,"$6,327,059"
74,CHSB,$0.456096,"$475,235"
75,DYDX,$4.68,"$178,831,411"
76,ASTRO,$3.40,"$2,848,171"
77,UMA,$6.40,"$28,180,186"
78,IMX,$1.79,"$33,295,002"
79,BABYDOGE,$0.000000002582,"$6,089,914"
80,DAG,$0.161080,"$747,490"
81,DOME,$0.041272226820,"$18,327,031"
82,DGB,$0.025401658047,"$16,584,336"
83,TEL,$0.006249898766,"$2,862,553"
84,JEWEL,$4.73,"$11,266,308"
85,TWT,$1.09,"$8,470,631"
86,NU,$0.387001,"$783,214"
87,TITAN,$3.76,"$8,239,084"
88,MBOX,$2.80,"$61,781,353"
89,POLY,$0.410484,"$9,423,525"
90,SPELL,$0.004223367780,"$36,285,930"
91,TOMB,$1.16,"$81,708,151"
92,CEEK,$0.481885,"$9,164,969"
93,PLEX,$1.41,"$15,382,865"
94,LOOKS,$1.45,"$45,975,260"
95,HIVE,$0.944108,"$6,467,059"
96,10SET,$3.96,"$4,734,800"
97,CSPR,$0.076945050183,"$4,503,144"
98,FLUX,$1.50,"$8,587,607"
99,ILV,$534.28,"$7,621,915"
